TARIH;ISLEM  KODU;BULTEN ADI;PAZAR GRUBU;PAZAR;YAPISAL BAZDA PIYASA ALT BOLUMU;ENSTRUMAN GRUBU;ENSTRUMAN TIPI;ENSTRUMAN SINIFI;ISLEM YONTEMI;PIYASA YAPICI;BIST 100 ENDEKS;BIST 30 ENDEKS;BRUT TAKAS;OZSERMAYE HALI;GECICI DURDURMA;ONCEKI KAPANIS FIYATI;ACILIS FIYATI;ACILIS SEANSI FIYATI;EN DUSUK FIYAT;EN YUKSEK FIYAT;KAPANIS FIYATI;KAPANIS SEANSI FIYATI;DEGISIM (%);BEKLEYEN EN IYI ALIS;BEKLEYEN EN IYI SATIS;A.O.F;TOPLAM ISLEM HACMI;TOPLAM ISLEM ADEDI;TOPLAM SOZLESME SAYISI;REFERANS FIYAT;ACILIS SEANSI ISLEM HACMI;ACILIS SEANSI ISLEM MIKTARI;ACILIS SEANSI SOZLESME SAYISI;KAPANIS SEANSI ISLEM HACMI;KAPANIS SEANSI ISLEM MIKTARI;KAPANIS SEANSI SOZLESME SAYISI;KAPANIS FIYATINDAN ISLEMLER ISLEM HACMI;KAPANIS FIYATINDAN ISLEMLER ISLEM MIKTARI;KAPANIS FIYATINDAN ISLEMLER SOZLESME SAYISI;EN DUSUK ACIGA SATIS FIYATI;EN YUKSEK ACIGA SATIS FIYATI;ACIGA SATIS A.O.F;ACIGA SATIS ISLEM HACMI;ACIGA SATIS ISLEM ADEDI;ACIGA SATIS SOZLESME SAYISI;OZEL ISLEM BILDIRIMI EN DUSUK FIYAT;OZEL ISLEM BILDIRIMI EN YUKSEK FIYAT;OZEL ISLEM BILDIRIMI A.O.F.;OZEL ISLEM BILDIRIMI ISLEM HACMI;OZEL ISLEM BILDIRIMI ISLEM ADEDI;OZEL ISLEM BILDIRIMI SOZLESME SAYISI;ORTA NOKTA ISLEMLERI ISLEM HACMI;ORTA NOKTA ISLEMLERI ISLEM ADEDI;ORTA NOKTA ISLEMLERI SOZLESME SAYISI;ACIGA SATIS
TRADE DATE;INSTRUMENT SERIES CODE;INSTRUMENT NAME;MARKET SUB SEGMENT;MARKET SEGMENT;MARKET;INSTRUMENT GROUP;INSTRUMENT TYPE;INSTRUMENT CLASS;TRADING METHOD;MARKET MAKER;BIST 100 INDEX;BIST 30 INDEX;GROSS SETTLEMENT;CORPORATE ACTION;SUSPENDED;PREVIOUS LAST PRICE;OPENING PRICE;OPENING SESSION PRICE;LOWEST PRICE;HIGHEST PRICE;CLOSING PRICE;CLOSING SESSION PRICE;CHANGE TO PREVIOUS CLOSING (%);REMAINING BID;REMAINING ASK;VWAP;TOTAL TRADED VALUE;TOTAL TRADED VOLUME;TOTAL NUMBER OF CONTRACTS;REFERENCE PRICE;TRADED VALUE AT OPENING SESSION;TRADED VOLUME AT OPENING SESSION;NUMBER OF CONTRACTS AT OPENING SESSION;TRADED VALUE AT CLOSING SESSION;TRADED VOLUME AT CLOSING SESSION;NUMBER OF CONTRACTS AT CLOSING SESSION;TRADED VALUE OF TRADES AT CLOSING PRICE;TRADED VOLUME OF TRADES AT CLOSING PRICE;NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE;LOWEST SHORT SALE PRICE;HIGHEST SHORT SALE PRICE;SHORT SALE VWAP;TRADED VALUE OF SHORT SALE TRADES;TRADED VOLUME OF SHORT SALE TRADES;NUMBER OF CONTRACTS OF SHORT SALE TRADES;LOWEST TRADE REPORT PRICE;HIGHEST TRADE REPORT PRICE;TRADE REPORT VWAP;TRADE REPORT TRADED VALUE;TRADE REPORT TRADED VOLUME;NUMBER OF TRADE REPORTS;MIDPOINT TRADED VALUE;MIDPOINT TRADED VOLUME;MIDPOINT NUMBER OF CONTRACTS;SHORT SELL
2021-01-08;AEFES.E;ANADOLU EFES;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTAEFES;SI;0;1;0;0;;0;24.66;24.88;24.88;24.68;26.5;26.22;26.22;6.326;26.2;26.22;25.689;146503852.5;5702914;8006;0;701118.4;28180;47;1491131.4;56870;82;269541.6;10280;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;AGHOL.E;ANADOLU GRUBU HOLDING;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTAGHOL;SI;0;1;0;0;;0;26.88;27.3;27.3;27.06;28.6;28.38;28.38;5.58;28.38;28.4;27.948;100187400.18;3584723;9270;0;856319.1;31367;54;668831.46;23567;117;82642.56;2912;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;AKBNK.AOF;AKBANK AOF;;Z;MSPOT;AOF;MSPOTAOF;MSPOTAOFAKBNK;SI;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;AKBNK.E;AKBANK;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTAKBNK;SI;0;1;1;0;;0;7.54;7.61;7.61;7.47;7.63;7.51;7.51;-0.398;7.51;7.52;7.526;878164908.75;116687526;21481;0;7002493.7;920170;203;22560287.83;3004033;227;1211235.33;161283;89;7.47;7.62;7.523;196345722.22;26099797;5097;0;0;0;0;0;0;0;0;0;1
2021-01-08;AKCNS.E;AKCANSA;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTAKCNS;SI;0;1;0;0;;0;18.61;18.71;18.71;18.2;18.97;18.84;18.84;1.236;18.84;18.85;18.692;51250850.43;2741896;7197;0;367894.73;19663;56;447921;23775;59;321561.12;17068;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;AKFGY.E;AKFEN GMYO;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTAKFGY;SI;0;0;0;0;;0;4.87;5.02;5.02;4.9;5.18;4.91;4.91;0.821;4.9;4.91;5.022;18184699.6;3620824;3862;0;614648.8;122440;84;95676.26;19486;22;40753;8300;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;AKGRT.E;AKSIGORTA;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTAKGRT;SI;0;1;0;0;;0;9.85;9.78;9.78;9.77;10.16;10.04;10.04;1.929;10.04;10.05;9.951;14150770.51;1422071;2555;0;111364.86;11387;44;214323.88;21347;36;2510;250;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;AKSA.E;AKSA;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTAKSA;SI;0;1;0;0;;0;14.04;14.04;14.04;13.9;14.13;13.94;13.94;-0.712;13.94;13.95;13.998;18639451.97;1331539;3455;0;118497.6;8440;66;468370.06;33599;121;22582.8;1620;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;AKSEN.E;AKSA ENERJI;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTAKSEN;SI;0;1;0;0;;0;8.15;8.22;8.22;8.17;8.35;8.17;8.17;0.245;8.17;8.18;8.239;65332972.21;7930055;6108;0;1160417.4;141170;67;1688085.4;206620;111;356383.57;43621;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;AKSGY.E;AKIS GMYO;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTAKSGY;SI;0;1;0;0;;0;3.58;3.6;3.6;3.55;3.64;3.62;3.62;1.117;3.61;3.62;3.591;47187220.61;13141233;9302;0;230205.6;63946;60;1710956.8;472640;170;886436.64;244872;248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;ALARK.E;ALARKO HOLDING;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTALARK;SI;0;1;0;0;;0;9.03;9.1;9.1;8.99;9.23;9.08;9.08;0.554;9.07;9.08;9.099;118118937.86;12982143;8942;0;1385975.5;152305;82;1816081.72;200009;86;189635.8;20885;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;ALBRK.E;ALBARAKA TURK;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTALBRK;SI;0;1;0;0;;0;1.97;1.98;1.98;1.92;1.98;1.95;1.95;-1.015;1.94;1.95;1.949;157922113.21;81013597;8056;0;700064.64;353568;66;2584155.6;1325208;83;864103.5;443130;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;ALCTL.E;ALCATEL LUCENT TELETAS;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTALCTL;SI;0;1;0;0;;0;30.1;31.04;31.04;30.7;32.08;31.56;31.56;4.85;31.56;31.58;31.295;166575350.8;5322702;20393;0;1280648.32;41258;118;1920015.72;60837;157;327971.52;10392;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;ALGYO.E;ALARKO GMYO;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTALGYO;SI;0;1;0;0;;0;25.78;25.94;25.94;24.7;26.04;25.32;25.32;-1.784;25.32;25.34;25.554;77962309.12;3050861;10547;0;551043.42;21243;63;1750320.96;69128;113;105078;4150;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;ALKIM.E;ALKIM KIMYA;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTALKIM;SI;0;1;0;0;;0;15.37;15.51;15.51;15.48;15.95;15.82;15.82;2.928;15.81;15.82;15.675;117317886.95;7484350;14106;0;458770.29;29579;74;1058183.98;66889;110;535918.32;33876;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;ANHYT.E;ANADOLU HAYAT EMEK.;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTANHYT;SI;0;0;0;0;;0;9.75;9.81;9.81;9.7;10.14;9.88;9.88;1.333;9.88;9.9;9.905;42224337.67;4263043;10944;0;333893.16;34036;64;279287.84;28268;43;71896.76;7277;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;ANSGR.E;ANADOLU SIGORTA;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTANSGR;SI;0;0;0;0;;0;7.6;7.58;7.58;7.54;7.63;7.63;7.63;0.395;7.6;7.63;7.589;4560475.45;600913;986;0;15948.32;2104;17;694330;91000;54;85356.81;11187;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;ARCLK.AOF;ARCELIK AOF;;Z;MSPOT;AOF;MSPOTAOF;MSPOTAOFARCLK;SI;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;ARCLK.E;ARCELIK;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTARCLK;SI;0;1;1;0;;0;31.82;31.9;31.9;31.5;32.2;32.14;32.14;1.006;32.1;32.14;31.887;283849317.4;8901805;16083;0;1418752.5;44475;132;4198576.76;130634;99;1142834.12;35558;17;31.5;32.18;31.883;29123105.2;913434;1660;0;0;0;0;0;0;0;0;0;1
2021-01-08;ARDYZ.E;ARD BILISIM TEKNOLOJILERI;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTARDYZ;SI;0;0;0;0;;0;51.3;52.5;52.5;50.3;55.85;54.15;54.15;5.556;54.15;54.2;53.734;206766648;3847958;24131;0;1532212.5;29185;172;816311.25;15075;81;621587.85;11479;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;ARENA.E;ARENA BILGISAYAR;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTARENA;SI;0;0;0;0;;0;35.24;35.52;35.52;35.18;37.08;36.64;36.64;3.973;36.56;36.64;36.275;39370761.6;1085329;8219;0;95761.92;2696;26;155280.32;4238;46;393330.4;10735;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;ARZUM.E;ARZUM EV ALETLERI;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTARZUM;SI;0;0;0;0;;0;22.3;22.44;22.44;22.24;22.96;22.36;22.36;0.269;22.34;22.36;22.496;180493285.46;8023384;23623;0;1084659.84;48336;225;1412436.48;63168;120;1483608.36;66351;107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;ASELS.AOF;ASELSAN AOF;;Z;MSPOT;AOF;MSPOTAOF;MSPOTAOFASELS;SI;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;ASELS.E;ASELSAN;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTASELS;SI;0;1;1;0;;0;18.96;19.06;19.06;18.9;19.15;18.95;18.95;-0.053;18.95;18.96;19.021;634707320.89;33368130;35151;0;12337919.2;647320;437;17594961.3;928494;461;4595356.05;242499;105;18.9;19.14;19.008;45463105.33;2391819;3311;0;0;0;0;0;0;0;0;0;1
2021-01-08;AVISA.E;AVIVASA EMEKLILIK HAYAT;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTAVISA;SI;0;0;0;0;;0;18.29;18.39;18.39;18.03;18.47;18.15;18.15;-0.765;18.15;18.17;18.2;5739934.13;315381;2076;0;21111.72;1148;15;138321.15;7621;20;3648.15;201;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;AYGAZ.E;AYGAZ;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTAYGAZ;SI;0;1;0;0;;0;14.93;15.07;15.07;14.85;15.07;14.98;14.98;0.335;14.97;14.98;14.929;12684445.72;849647;2771;0;38338.08;2544;41;47816.16;3192;27;40446;2700;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;BAGFS.E;BAGFAS;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTBAGFS;SI;0;1;0;0;;0;22.8;22.94;22.94;22.28;24.8;23.86;23.86;4.649;23.84;23.86;23.324;331301468.02;14204336;29897;0;1852290.3;80745;170;3440301.82;144187;166;540190.4;22640;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;BERA.E;BERA HOLDING;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTBERA;SI;0;1;0;0;;0;20;20;20;19.5;21.8;20.38;20.38;1.9;20.36;20.38;20.747;56290650.02;2713230;9039;0;98200;4910;48;887508.24;43548;83;465418.06;22837;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;BIMAS.AOF;BIM MAGAZALAR AOF;;Z;MSPOT;AOF;MSPOTAOF;MSPOTAOFBIMAS;SI;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;BIMAS.E;BIM MAGAZALAR;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTBIMAS;SI;0;1;1;0;06;0;76.85;75.1;75.1;75.05;76.45;76.4;76.4;-0.586;76.35;76.4;75.811;266512865.2;3515481;14902;0;2068479.3;27543;251;15082811.6;197419;202;1117655.6;14629;42;75.1;76.4;75.893;34956303.6;460597;2022;0;0;0;0;0;0;0;0;0;1
2021-01-08;BIZIM.E;BIZIM MAGAZALARI;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTBIZIM;SI;0;1;0;0;;0;15.9;16.2;16.2;15.99;16.3;16;16;0.629;16;16.01;16.142;105929521.91;6562467;12846;0;1192093.2;73586;266;1395904;87244;136;161280;10080;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;BRISA.E;BRISA;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTBRISA;SI;0;1;0;0;;0;22.72;22.5;22.5;22.1;22.88;22.2;22.2;-2.289;22.2;22.3;22.357;67230135.62;3007066;9337;0;736245;32722;145;2533086.6;114103;148;300810;13550;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;BRSAN.E;BORUSAN MANNESMANN;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTBRSAN;SI;0;1;0;0;;0;32.9;36.18;36.18;31.22;36.18;32.42;32.42;-1.459;32.42;32.5;33.247;481632782.78;14486721;53905;0;15134600.52;418314;936;2513425.34;77527;251;275407.9;8495;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;BSOKE.E;BATISOKE CIMENTO;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTBSOKE;SI;0;0;0;0;;0;2.51;2.53;2.53;2.46;2.54;2.49;2.49;-0.797;2.48;2.49;2.494;55571437.02;22281697;8681;0;638536.58;252386;78;707732.7;284230;73;171563.49;68901;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;BUCIM.E;BURSA CIMENTO;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTBUCIM;SI;0;1;0;0;;0;12.3;12.25;12.25;11.77;12.25;11.85;11.85;-3.659;11.85;11.86;11.922;53271215.57;4468280;5234;0;516190.5;42138;116;944859.75;79735;73;25311.6;2136;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;CCOLA.E;COCA COLA ICECEK;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTCCOLA;SI;0;1;0;0;;0;67.6;68.05;68.05;68.05;73.7;72.35;72.35;7.027;72.35;72.5;70.88;138744267.45;1957463;12080;0;700030.35;10287;70;985117.6;13616;71;182900.8;2528;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-01-08;CEMTS.E;CEMTAS;;Z;MSPOT;EQT;MSPOTEQT;MSPOTEQTCEMTS;SI;0;1;0;0;;0;15.59;15.7;15.7;15.53;16.15;15.83;15.83;1.539;15.83;15.84;15.88;104021335.27;6550289;14869;0;446178.3;28419;52;1229595.25;77675;110;172784.45;10915;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
